userName,score,at,content
Heryanto Malangkase,5,2025-12-11 11:11:57,Beli token biaya admin murah transaksi cepat aplikasi kekinian.
Andika Epet,5,2025-12-11 11:11:29,apk PLN mobile sangat membantu kami.
Jai nuri,5,2025-12-11 11:11:09,pln mobil baik
Rudi Yono,5,2025-12-11 11:10:23,Pelayanan PLN Baik.
Lamdan Hardiansyah,5,2025-12-11 11:10:11,aplikasi yg sangat mudah dan membantu?mantap👍👍👍
Herie -,5,2025-12-11 11:09:35,aplikasi PLN mobile sangat membantu untuk layanan gangguan listrik padam
Jaka Maulana,5,2025-12-11 11:08:39,cukup memuaskan
Ardhito Prasetyo,5,2025-12-11 11:08:07,baik
atlas Favorit,5,2025-12-11 11:07:12,aplikasi sangat membantu untuk pengaduan listrik dan membantu untuk pembayaran listrik
Cep Ahoey,5,2025-12-11 11:06:12,bagus komunikatif banyak informasi yg didapat
suparman parman,5,2025-12-11 11:05:23,ok mantap
HOLIDI,5,2025-12-11 11:04:27,Alpikasi membatu untuk cek alamat meteran dan pembelisn plsa kwh
Imam Ghozali,5,2025-12-11 11:04:25,bagus
Billman Barabai,5,2025-12-11 11:04:11,Mantap dan sangat membantu
Dewi Safitri,5,2025-12-11 11:03:15,praktis dan gak ribeet sampee yang harga minimal pun ada keren PLN
Ricky hermanto,5,2025-12-11 11:03:07,jos markotop🔥
Raditya Syahputra,5,2025-12-11 11:01:34,PLN luar biasa
Fahri Abdullahbdl,5,2025-12-11 11:01:07,Pelayanan bagus
Tinus,5,2025-12-11 11:00:53,Apk ini sangat membantu saat melapor gangguan listrik
Dwi Saputro,5,2025-12-11 10:59:35,baik
Jadu Jadi,5,2025-12-11 10:58:10,trimakasih pln
Diah Ratu,4,2025-12-11 10:58:04,mantap
Atika Damayanti,5,2025-12-11 10:58:03,terimakasih ULP Rajapolah dan kepelayanan penyambungan telah memberi tahu sitem apk PLN mobile bisa paska lewat apk PLN mobile MANTAPP
Jhon N Walalohun,5,2025-12-11 10:57:29,PLN mobile bagus. mantap
Imam Mami,5,2025-12-11 10:56:58,dengan adax aplikasi pln mobile sangat memudahkan pelanggan pln tambah sukses
Onta Inti,5,2025-12-11 10:55:45,jangan ragu untuk download aplikasi ini
Harun Murtopo,5,2025-12-11 10:55:27,sangat membantu
Nsrmhulis,5,2025-12-11 10:53:43,terbaik
hemma maulana,5,2025-12-11 10:51:27,pelayanan baik dan cepat
Ali Munawar,5,2025-12-11 10:51:09,"kok bisa-bisanya PLN mobile menautkan bilpay, itu aplikasi sudah seminggu tak bisa di akses saldo masih banyak lagi"
Sumarlik,5,2025-12-11 10:50:36,sangat membantu
Ary RizkyRidho,5,2025-12-11 10:50:07,aplikasi memudahkan kami membeli pulsa secara mudah
Muslimin Hanafi,5,2025-12-11 10:49:29,Bagus pelayanan
